Site,Condition,Interval,Age,Age_lb,Age_ub,Cancer_death,Noncancer_death,Death_cum_p,Death_y_r,Death_m_r
Breast,0,10,15-44,15,44,0.202,0.011,0.213,0.024,0.0020
Breast,0,10,45-54,45,54,0.142,0.027,0.169,0.019,0.0015
Breast,0,10,55-64,55,64,0.13,0.071,0.201,0.022,0.0019
Breast,0,10,65-74,65,74,0.155,0.172,0.327,0.040,0.0033
Breast,0,10,75-99,75,99,0.34,0.423,0.763,0.144,0.0120
Breast,1,9,15-44,15,44,0.197,0.01,0.207,0.026,0.0021
Breast,1,9,45-54,45,54,0.135,0.026,0.161,0.020,0.0016
Breast,1,9,55-64,55,64,0.119,0.067,0.186,0.023,0.0019
Breast,1,9,65-74,65,74,0.136,0.168,0.304,0.040,0.0034
Breast,1,9,75-99,75,99,0.288,0.431,0.719,0.141,0.0118
Breast,5,5,15-44,15,44,0.092,0.007,0.099,0.021,0.0017
Breast,5,5,45-54,45,54,0.066,0.018,0.084,0.018,0.0015
Breast,5,5,55-64,55,64,0.056,0.047,0.103,0.022,0.0018
Breast,5,5,65-74,65,74,0.067,0.124,0.191,0.042,0.0035
Breast,5,5,75-99,75,99,0.158,0.351,0.509,0.142,0.0119
Colorectal,0,10,15-44,15,44,0.369,0.01,0.379,0.048,0.0040
Colorectal,0,10,45-54,45,54,0.411,0.028,0.439,0.058,0.0048
Colorectal,0,10,55-64,55,64,0.389,0.072,0.461,0.062,0.0052
Colorectal,0,10,65-74,65,74,0.401,0.169,0.57,0.084,0.0070
Colorectal,0,10,75-99,75,99,0.527,0.311,0.838,0.182,0.0152
Colorectal,1,9,15-44,15,44,0.289,0.01,0.299,0.039,0.0033
Colorectal,1,9,45-54,45,54,0.326,0.029,0.355,0.049,0.0041
Colorectal,1,9,55-64,55,64,0.288,0.077,0.365,0.050,0.0042
Colorectal,1,9,65-74,65,74,0.277,0.19,0.467,0.070,0.0058
Colorectal,1,9,75-99,75,99,0.314,0.426,0.74,0.150,0.0125
Colorectal,5,5,15-44,15,44,0.079,0.009,0.088,0.018,0.0015
Colorectal,5,5,45-54,45,54,0.091,0.024,0.115,0.024,0.0020
Colorectal,5,5,55-64,55,64,0.084,0.062,0.146,0.032,0.0026
Colorectal,5,5,65-74,65,74,0.086,0.161,0.247,0.057,0.0047
Colorectal,5,5,75-99,75,99,0.089,0.404,0.493,0.136,0.0113
Lung,0,10,15-44,15,44,0.732,0.005,0.737,0.134,0.0111
Lung,0,10,45-54,45,54,0.859,0.01,0.869,0.203,0.0169
Lung,0,10,55-64,55,64,0.881,0.022,0.903,0.233,0.0194
Lung,0,10,65-74,65,74,0.887,0.046,0.933,0.270,0.0225
Lung,0,10,75-99,75,99,0.901,0.082,0.983,0.407,0.0340
Lung,1,9,15-44,15,44,0.465,0.008,0.473,0.071,0.0059
Lung,1,9,45-54,45,54,0.686,0.018,0.704,0.135,0.0113
Lung,1,9,55-64,55,64,0.722,0.041,0.763,0.160,0.0133
Lung,1,9,65-74,65,74,0.739,0.092,0.831,0.198,0.0165
Lung,1,9,75-99,75,99,0.749,0.184,0.933,0.300,0.0250
Lung,5,5,15-44,15,44,0.075,0.008,0.083,0.017,0.0014
Lung,5,5,45-54,45,54,0.231,0.025,0.256,0.059,0.0049
Lung,5,5,55-64,55,64,0.277,0.059,0.336,0.082,0.0068
Lung,5,5,65-74,65,74,0.344,0.135,0.479,0.130,0.0109
Lung,5,5,75-99,75,99,0.378,0.29,0.668,0.221,0.0184
Prostate,0,10,15-44,15,44,0.105,0.048,0.153,0.017,0.0014
Prostate,0,10,45-54,45,54,0.103,0.112,0.215,0.024,0.0020
Prostate,0,10,55-64,55,64,0.119,0.256,0.375,0.047,0.0039
Prostate,0,10,65-74,65,74,0.255,0.461,0.716,0.126,0.0105
Prostate,0,10,75-99,75,99,0.449,0.519,0.968,0.344,0.0287
Prostate,1,9,15-44,15,44,0.104,0.045,0.149,0.018,0.0015
Prostate,1,9,45-54,45,54,0.098,0.106,0.204,0.025,0.0021
Prostate,1,9,55-64,55,64,0.11,0.245,0.355,0.049,0.0041
Prostate,1,9,65-74,65,74,0.232,0.46,0.692,0.131,0.0109
Prostate,1,9,75-99,75,99,0.356,0.595,0.951,0.335,0.0279
Prostate,5,5,15-44,15,44,0.046,0.031,0.077,0.016,0.0013
Prostate,5,5,45-54,45,54,0.042,0.074,0.116,0.025,0.0021
Prostate,5,5,55-64,55,64,0.055,0.18,0.235,0.054,0.0045
Prostate,5,5,65-74,65,74,0.144,0.377,0.521,0.147,0.0123
Prostate,5,5,75-99,75,99,0.237,0.603,0.84,0.367,0.0305
