age,mx
0,0.004612
1,0.000247
2,0.000177
3,0.000115
4,0.0001
5,0.000097
6,0.00008
7,0.00008
8,0.000079
9,0.000091
10,0.00007
11,0.000095
12,0.000096
13,0.000115
14,0.000139
15,0.000173
16,0.000257
17,0.000288
18,0.000438
19,0.000493
20,0.000457
21,0.00051
22,0.000519
23,0.000554
24,0.000536
25,0.000541
26,0.000642
27,0.0006
28,0.000679
29,0.000737
30,0.000769
31,0.000848
32,0.000881
33,0.000949
34,0.001033
35,0.001111
36,0.001234
37,0.001306
38,0.001371
39,0.001518
40,0.001682
41,0.00181
42,0.001892
43,0.002076
44,0.002166
45,0.002436
46,0.002618
47,0.002843
48,0.003062
49,0.003393
50,0.003718
51,0.004019
52,0.004288
53,0.004562
54,0.00494
55,0.005334
56,0.005757
57,0.006273
58,0.00675
59,0.007262
60,0.007791
61,0.008593
62,0.009335
63,0.010083
64,0.011234
65,0.012048
66,0.013495
67,0.014905
68,0.016413
69,0.017752
70,0.019719
71,0.02174
72,0.023896
73,0.025801
74,0.02818
75,0.030786
76,0.034328
77,0.037844
78,0.043278
79,0.048007
80,0.054089
81,0.061501
82,0.07039
83,0.078185
84,0.087784
85,0.098479
86,0.111223
87,0.125394
88,0.142589
89,0.161524
90,0.181802
91,0.202653
92,0.22943
93,0.254684
94,0.284121
95,0.313787
96,0.343787
97,0.384766
98,0.411425
99,0.446545
100,0.503895
